Year,State,Requirement (MU),Availability (MU)
1992,Andhra Pradesh,26085,24281
1992,Arunachal PR.,161.1,111.1
1992,Assam,2423.7,2040.2
1992,Bihar,8220,5243
1992,Chandigarh,628,628
1992,DVC,7495,5767
1992,Delhi,10158,10098
1992,Goa,776,776
1992,Gujarat,26500,25712
1992,Haryana,11340,11079
1992,Himachal Pradesh,1531,1531
1992,Jammu & Kashmir,3640,2932
1992,Karnataka,21665,16050
1992,Kerala,7700,7416
1992,Madhya Pradesh,22439,20675
1992,Maharashtra,43970,41387
1992,Manipur,290.5,258.1
1992,Meghalaya,288.6,282.8
1992,Mizoram,104.1,87.2
1992,Nagaland,143,121
1992,Orissa,8210,7156
1992,Punjab,18165,17506
1992,Rajasthan,14317,14081
1992,Tamil Nadu,24490,24060
1992,Tripura,276.4,231.3
1992,Uttar Pradesh,32415,29118
1992,West Bengal,11835,11196
1993,Andhra Pradesh,28180,26924
1993,Arunachal PR.,157,107.3
1993,Assam,2368,2098.3
1993,Bihar,8645,5583
1993,Chandigarh,676,676
1993,DVC,7730,6982
1993,Delhi,11045,10884
1993,Goa,876,873
1993,Gujarat,29860,28502
1993,Haryana,11745,10640
1993,Himachal Pradesh,1619,1619
1993,Jammu & Kashmir,3700,2971
1993,Karnataka,22070,17235
1993,Kerala,7990,7836
1993,Madhya Pradesh,23945,22791
1993,Maharashtra,44895,43514
1993,Manipur,298.4,285.1
1993,Meghalaya,304.4,304.4
1993,Mizoram,115.2,109.9
1993,Nagaland,144.9,136.6
1993,Orissa,8840,7909
1993,Punjab,18780,18181
1993,Rajasthan,16070,15089
1993,Tamil Nadu,26495,25466
1993,Tripura,273.1,245.4
1993,Uttar Pradesh,33735,30476
1993,West Bengal,12695,12056
1994,Andhra Pradesh,31245,28757
1994,Arunachal Pradesh,157.5,118.4
1994,Assam,2437.1,2231.3
1994,Bihar,9410,6295
1994,Chandigarh,729,724
1994,DVC,7970,7392
1994,Delhi,12205,12076
1994,Goa,965,965
1994,Gujarat,31905,30678
1994,Haryana,11695,11139
1994,Himachal Pradesh,1842,1842
1994,Jammu & Kashmir,4045,3296
1994,Karnataka,23280,19280
1994,Kerala,8902,8831
1994,Madhya Pradesh,27840,25805
1994,Maharashtra,49525,48558
1994,Manipur,337.2,287
