Year,RESERVOIR SCHEME,INFLOWS (MCM),GENERATION (GWH)
1985,Balimela,2798,872
1985,Bhakra,17524,5995
1985,Gandhi Sagar,3296,291
1985,Hirakud,36673,1009
1985,Idukki,1714,2511
1985,Kalinadi & Supa,2692,2553
1985,Koyna,3310,3828
1985,Machkund,1129,679
1985,Nagarjuna Sagar ,17455,1513
1985,Pong,9839,1490
1985,R.P.Sagar,4730,883
1985,Rihand & Obra,6280,955
1985,Sabaragiri,853,1402
1985,Sharavarhy & Jog,3778,4226
1985,Srisailam,19976,2116
1985,UKAI,3212,415
1986,Balimela,3450,1050
1986,Bhakra,19393,6842
1986,Gandhi Sagar,9886,481
1986,Hirakud,38850,1107
1986,Idukki,1337,2318
1986,Kalinadi & Supa,2290,2014
1986,Koyna,3140,3359
1986,Machkund,1422,676
1986,Nagarjuna Sagar ,19153,1653
1986,Pong,10007,1743
1986,R.P.Sagar,8385,1075
1986,Rihand & Obra,6061,1297
1986,Sabaragiri,715,964
1986,Sharavarhy & Jog,3673,4000
1986,Srisailam,19869,2865
1986,UKAI,7108,456
1988,Balimela,2682,648
1988,Bhakra,22166,7315
1988,Gandhi Sagar,4234,382
1988,Hirakud,20498,845
1988,Idukki,1213,1694
1988,Kalinadi & Supa,2733,2958
1988,Koyna,3855,3774
1988,Machkund,1190,589
1988,Nagarjuna Sagar ,38304,2208
1988,Pong,13745,1208
1988,R.P.Sagar,4316,768
1988,Rihand & Obra,4824,851
1988,Sabaragiri,662,1076
1988,Sharavarhy & Jog,4221,3308
1988,Srisailam,41384,2618
1988,UKAI,15936,956
1989,Balimela,2474,989
1989,Bhakra,17794,6633
1989,Gandhi Sagar,2260,235
1989,Hirakud,19487,1023
1989,Idukki,1921,1894
1989,Kalinadi & Supa,2275,2700
1989,Koyna,3232,3310
1989,Machkund,1101,646
1989,Nagarjuna Sagar ,27831,2341
1989,Pong,6985,1541
1989,R.P.Sagar,3082,670
1989,Rihand & Obra,5662,1167
1989,Sabaragiri,976,1359
1989,Sharavarhy & Jog,3864,4434
1989,Srisailam,29579,2959
1989,UKAI,9023,975
1990,Balimela,5289,1253
1990,Bhakra,22079,7629
1990,Gandhi Sagar,7049,324
1990,Hirakud,44609,1217
1990,Idukki,1438,2577
1990,Kalinadi & Supa,3585,3059
1990,Koyna,5205,3418
1990,Machkund,2591,890
1990,Nagarjuna Sagar ,41633,3193
1990,Pong,11386,1813
1990,R.P.Sagar,3712,595
1990,Rihand & Obra,6907,845
1990,Sabaragiri,748,1279
1990,Sharavarhy & Jog,5464,4899
1990,Srisailam,44268,3596
1990,UKAI,15608,1222
1991,Balimela,3983,1809
1991,Bhakra,21050,7512
1991,Gandhi Sagar,5987,510
1991,Hirakud,32458,1234
1991,Idukki,1557,2312
1991,Kalinadi & Supa,4247,3287
1991,Koyna,4254,3409
1991,Machkund,1410,806
1991,Nagarjuna Sagar ,44776,3011
1991,Pong,10115,1449
1991,R.P.Sagar,6612,1713
1991,Rihand & Obra,9954,1053
1991,Sabaragiri,807,1294
1991,Sharavarhy & Jog,6107,5160
1991,Srisailam,46075,3269
1991,UKAI,4284,518
1992,Balimela,4425,1391
1992,Bhakra,18256,7005
1992,Gandhi Sagar,1736,312
1992,Hirakud,14481,1032
1992,Idukki,2596,2777
1992,Kalinadi & Supa,4093,3367
1992,Koyna,3445,3242
1992,Machkund,1473,795
1992,Nagarjuna Sagar ,26974,2614
1992,Pong,10407,1810
1992,R.P.Sagar,3804,927
1992,Rihand & Obra,3974,542
1992,Sabaragiri,1080,1512
1992,Sharavarhy & Jog,5652,4873
1992,Srisailam,26983,3183
1992,UKAI,6310,398
1993,Balimela,2755,930
1993,Bhakra,16158,5755
1993,Gandhi Sagar,3640,315
1993,Hirakud,27872,1183
1993,Idukki,1734,2580
1993,Kalinadi & Supa,3670,3114
1993,Koyna,4147,3598
1993,Machkund,995,735
1993,Nagarjuna Sagar ,26617,3510
1993,Pong,8010,1564
1993,R.P.Sagar,3430,720
1993,Rihand & Obra,6394,997
1993,Sabaragiri,1019,1432
1993,Sharavarhy & Jog,4531,5319
1993,Srisailam,35510,3797
1993,UKAI,8562,920
1994,Balimela,6387,1246
1994,Bhakra,22143,7323
1994,Gandhi Sagar,8702,365
1994,Hirakud,77352,1158
1994,Idukki,3710,2897
1994,Kalinadi & Supa,4562,4350
1994,Koyna,7972,4136
1994,Machkund,2429,706
1994,Nagarjuna Sagar ,57069,3725
1994,Pong,12036,1787
1994,R.P.Sagar,5454,1091
1994,Rihand & Obra,31668,1912
1994,Sabaragiri,923,1578
1994,Sharavarhy & Jog ,7241,6075
1994,Srisailam,56483,3306
1994,UKAI,17698,930
1995,Balimela,3965,1419
1995,Bhakra,19674,6816
1995,Gandhi Sagar,5531,574
1995,Hirakud,26186,1104
1995,Idukki,1820,3083
1995,Kalinadi & Supa,1983,3683
1995,Koyna,3414,2826
1995,Machkund,1693,847
1995,Nagarjuna Sagar ,15133,1084
1995,Pong,11581,1886
1995,R.P.Sagar,6995,1068
1995,Rihand & Obra,5600,1041
1995,Sabaragiri,969,1674
1995,Sharavarhy & Jog,3692,4693
1995,Srisailam,17271,2667
1995,UKAI,4028,459
