Year,NAME OF SUPPLIER,NAME OF PURCHASER,ENERGRY TRANSFERED (GWH)
1985,Madhya Pradesh S.E.B,Andhra Pradesh S.E.B.,145.79
1985,Assam S.E.B.,Arunachal Pradesh,7.2
1985,Arunachal Pradesh,Assam S.E.B.,1.53
1985,Meghalaya S.E.B,Assam S.E.B.,235.48
1985,Nagaland,Assam S.E.B.,26.03
1985,Tripura,Assam S.E.B.,0.97
1985,Assam S.E.B.,Bhutan,0.92
1985,West Bengal S.E.B,Bhutan,32.59
1985,Damodar Valley Corp.,Bihar S. E. B.,1602.94
1985,Nepal & Gandak Project,Bihar S. E. B.,16.45
1985,Orissa S.E.B,Bihar S. E. B.,2.26
1985,Uttar Pradesh S.E.B,Bihar S. E. B.,272.62
1985,West Bengal S.E.B,Bihar S. E. B.,82.65
1985,Haryana S.E.B,Chandigarh,0.23
1985,Himachal Pradesh S.E.B.,Chandigarh,3.15
1985,Punjab S.E.B,Chandigarh,123.77
1985,Haryana S.E.B,Delhi Electricity Supply Undertaking,240.37
1985,J&K S.E.B.,Delhi Electricity Supply Undertaking,69.87
1985,Punjab S.E.B,Delhi Electricity Supply Undertaking,247.49
1985,Rajasthan S.E.B,Delhi Electricity Supply Undertaking,9.69
1985,Bihar S.E.B.,Damodar Valley Corp.,19.14
1985,F.C.I (BIHAR),Damodar Valley Corp.,8.61
1985,Uttar Pradesh S.E.B,Damodar Valley Corp.,11.53
1985,Gujarat S.E.B,Dadra & Nagar Haveli,19.45
1985,Durgapur Project Limited,Damodar Valley Corp.,229.3
1985,West Bengal S.E.B,Damodar Valley Corp.,11.49
1985,Damodar Valley Corp.,DISHERGARH E.S.CO/SEEB CO/CESC,837.38
1985,Damodar Valley Corp.,Durgapur Project Limited,58.32
1985,Gujarat S.E.B,"Goa, Daman & Diu",20.74
1985,Karnataka S.E.B.,"Goa, Daman & Diu",91.1
1985,Maharashtra  S.E.B,"Goa, Daman & Diu",189.41
1985,Maharashtra  S.E.B,Gujarat S.E.B,698.21
1985,Haryana S.E.B,Himachal Pradesh S. E. B.,3.3
1985,Rajasthan S.E.B,Haryana S.E.B.,1.59
1985,Chandigarh,Haryana S.E.B.,3.51
1985,Punjab S.E.B,Haryana S.E.B.,3.51
1985,Punjab S.E.B,Himachal Pradesh S.E.B,88.42
1985,Uttar Pradesh S.E.B,Himachal Pradesh S.E.B,13.36
1985,Punjab S.E.B,J&K S.E.B,7.81
